14:59:22.551 [main] INFO  n.javat3.business.employee.Project - [<init>] - Creando el proyecto: Naturgy
14:59:22.553 [main] INFO  n.javat3.business.employee.Project - [<init>] - Creando el proyecto: Banco Popular
14:59:22.554 [main] INFO  n.javat3.business.employee.Project - [<init>] - Creando el proyecto: DUAL
14:59:22.554 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Generando proyectos
14:59:22.554 [main] INFO  n.javat3.business.student.School - [<init>] - Generando el centro educativo: IES Hermanos Machado
14:59:22.554 [main] INFO  n.javat3.business.student.School - [<init>] - Generando el centro educativo: CESUR Sevilla
14:59:22.554 [main] INFO  n.javat3.business.student.School - [<init>] - Generando el centro educativo: CESUS Málaga
14:59:22.554 [main] INFO  n.javat3.business.student.School - [<init>] - Generando el centro educativo: Pablo Picasso Málaga
14:59:22.554 [main] INFO  n.javat3.business.student.School - [<init>] - Generando el centro educativo: IES Alixar
14:59:22.554 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Generando centros educativos
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [<init>] - Generando Servicio
14:59:22.555 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Inyectando servicio de gestión
14:59:22.555 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Añadiendo proyectos
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - ENTRADA MÉTODO
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - Proyecto añadido
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - FIN MÉTODO
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - ENTRADA MÉTODO
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - Proyecto añadido
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - FIN MÉTODO
14:59:22.555 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - Proyecto añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addProject] - FIN MÉTODO
14:59:22.556 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Añadiendo centros educativos
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - Centro educativo añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - FIN MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - Centro educativo añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - FIN MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - Centro educativo añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - FIN MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - Centro educativo añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - FIN MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - ENTRADA MÉTODO
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - Centro educativo añadido
14:59:22.556 [main] INFO  n.j.business.ManagmentServiceImpl - [addSchool] - FIN MÉTODO
14:59:22.559 [main] INFO  nttdata.javat3.T3MainFMR - [main] - Generando menú
14:59:49.054 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 1
14:59:50.689 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - ENTRADA MÉTODO
14:59:51.128 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - Centro educativo seleccionado: IES Hermanos Machado
14:59:51.128 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - FIN MÉTODO
14:59:51.128 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - ENTRADA MÉTODO
14:59:51.566 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - Modalidad seleccionada: DAM
14:59:51.566 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - FIN MÉTODO
14:59:51.567 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - ENTRADA MÉTODO
14:59:51.567 [main] INFO  n.j.business.ManagmentServiceImpl - [checkPerson] - Comprobando si la persona existe
14:59:51.567 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
14:59:51.567 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:51.568 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - FIN MÉTODO
14:59:51.568 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - ENTRADA MÉTODO
14:59:51.568 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.javat3.business.student.School - [containStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [checkStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Creando alumno
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - ENTRADA MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - Alumno añadido
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addStudent] - FIN MÉTODO
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - Alumno creado
14:59:51.569 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - FIN MÉTODO
14:59:51.570 [main] INFO  nttdata.javat3.T3MainFMR - [main] - FIN CASO 1
14:59:52.005 [main] INFO  nttdata.javat3.T3MainFMR - [main] - ENTRADA CASO 1
14:59:53.598 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - ENTRADA MÉTODO
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - Centro educativo seleccionado: CESUR Sevilla
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showSchools] - FIN MÉTODO
14:59:54.039 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - ENTRADA MÉTODO
14:59:54.476 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - Modalidad seleccionada: DAW
14:59:54.477 [main] INFO  nttdata.javat3.T3MainFMR - [showModalities] - FIN MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [addPerson] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkPerson] - Comprobando si la persona existe
14:59:54.477 [main] INFO  n.j.business.ManagmentServiceImpl - [checkEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - ENTRADA MÉTODO
14:59:54.477 [main] INFO  n.javat3.business.employee.Project - [containEmployee] - FIN MÉTODO
